name,popularity,longitude,latitude,location,instance,cluster
Bangalore Palace,69,77° 35′ 31.57″ E,12° 59′ 54.7″ N,"Bangalore, Bangalore Urban district, Bangalore division, Karnataka, India",palace,0
Panniyur Sri Varahamurthy Temple,5,76° 03′ 19″ E,10° 49′ 36.7″ N,"Kerala, India",Hindu temple,0
Pothigai Hills,45,77° 14′ 46.5″ E,8° 37′ 00.09″ N,"Kerala, India",mountain,0
Jafarganj Cemetery (Murshidabad),55,88° 15′ 52.21″ E,24° 12′ 03.1″ N,"Murshidabad, Lalbag subdivision, Murshidabad district, Malda division, West Bengal, India",cemetery,4
Poonkunnam Siva Temple,12,76° 12′ 15.91″ E,10° 32′ 09.06″ N,"Thrissur district, Kerala, India",Hindu temple (Shiva),0
Pong Dam,63,75° 56′ 48″ E,31° 58′ 17″ N,"Kangra district, Himachal Pradesh, India",embankment dam,2
Cheluvanarayana Swamy Temple,99,76° 38′ 51.1″ E,12° 39′ 36.8″ N,"Mandya district, Mysuru division, Karnataka, India",temple,0
Happy Valley Tea Estate,36,88° 15′ 05.11″ E,27° 02′ 53.84″ N,"Darjeeling Pulbazar community development block, Darjeeling Sadar subdivision, Darjeeling district, Jalpaiguri division, West Bengal, India",tea plantationvillage in India,4
Kangchenjunga South,3,88° 09′ 15.48″ E,27° 41′ 30.12″ N,"Kanchenjunga, Sikkim, India",summit (Kanchenjunga),4
Aralam Wildlife Sanctuary,200,75° 53′ 18.96″ E,11° 52′ 43.68″ N,"Kerala, India",geographical featureprotected area,0
Amar Jawan Jyoti (Tomb of the Unknown Soldier),90,77° 13′ 45.5″ E,28° 36′ 46.31″ N,"India Gate, New Delhi district, Delhi division, National Capital Territory of Delhi, India",war memorial,2
"Jami Masjid, Champaner",200,73° 32′ 13.56″ E,22° 29′ 09.24″ N,"Champaner, Halol Taluka, Panchmahal district, Gujarat, India",mosque,5
Vasai Creek,8,72° 52′ 30″ E,19° 18′ 54″ N,"Palghar district, Konkan division, Maharashtra, India",stream,5
Ramnagar Fort,61,83° 01′ 29″ E,25° 16′ 11″ N,"Ramnagar, Varanasi district, Varanasi division, Uttar Pradesh, India",fort,4
Girnar Jain Temples,47,70° 31′ 20.01″ E,21° 31′ 35.87″ N,"Girnar, Junagadh district, Gujarat, India",Jain temple,5
"Lakshmi Narasimha Temple, Mangalagiri",21,80° 34′ 12.36″ E,16° 26′ 13.33″ N,"Guntur district, Andhra Pradesh, India",temple,0
Parvati Valley,112,77° 28′ 54.36″ E,31° 59′ 32.47″ N,"Himachal Pradesh, India",valley,2
Cathedral of the Immaculate Conception of Agra,27,78° 00′ 34.92″ E,27° 11′ 52.08″ N,"Agra, Agra district, Agra division, Uttar Pradesh, India",church building,2
Adhi Ratneswarar Temple,28,78° 55′ 10″ E,9° 47′ 00″ N,"Tamil Nadu, India",Hindu temple,0
Phuktal Monastery,37,77° 10′ 51″ E,33° 16′ 07″ N,"Kargil district, Ladakh, India",monastery,2
Trilok Teerth Dham,19,77° 20′ 01.4″ E,28° 52′ 38.8″ N,"Bada Gaon, Uttar Pradesh, India",temple,2
Panayanar kavu,10,76° 32′ 13″ E,9° 19′ 29″ N,"Kerala, India",village in India,0
Hindaun Fort,6,77° 02′ 20.76″ E,26° 43′ 49.08″ N,"Hindaun, Karauli district, Bharatpur division, Rajasthan, India",fortification,2
Fort Reis Magos,31,73° 48′ 33″ E,15° 29′ 47″ N,"Reis Magos, Bardez taluk, North Goa district, Goa, India",fortress,0
Bagore-ki-Haveli,49,73° 40′ 48.13″ E,24° 34′ 46.81″ N,"Udaipur, Udaipur district, Udaipur division, Rajasthan, India",haveli,5
Navalinga Temple,62,75° 59′ 22.6″ E,15° 29′ 26.8″ N,"Koppal district, Kalaburagi division, Karnataka, India",Hindu temple (Shiva),0
Basilica of Our Lady of Dolours,37,76° 13′ 04.8″ E,10° 31′ 15.6″ N,"Thrissur, Thrissur district, Kerala, India",church building,0
"Mahamaya Temple, Ratanpur",37,82° 09′ 32.4″ E,22° 52′ 58.8″ N,"Bilaspur district, Bilaspur division, Chhattisgarh, India",temple,4
Goa Chitra Museum,41,73° 56′ 29.8″ E,15° 15′ 52.9″ N,"Benaulim, South Goa District, Goa, India",ethnographic museum,0
"Indian Air Force Museum, Palam",6,77° 07′ 01″ E,28° 34′ 26″ N,"Palam, South West Delhi district, Delhi division, National Capital Territory of Delhi, India",aviation museummilitary museum,2
Hauz-i-Shamsi,26,77° 10′ 42″ E,28° 30′ 51″ N,"Mehrauli, South Delhi district, Delhi division, National Capital Territory of Delhi, India",reservoir,2
Feroz Shah Kotla,200,77° 14′ 33.7″ E,28° 38′ 05.87″ N,"Central Delhi district, Delhi division, National Capital Territory of Delhi, India",fortification,2
Thalay Sagar,4,78° 59′ 50″ E,30° 51′ 29″ N,"Uttarkashi district, Garhwal division, Uttarakhand, India",mountain,2
Bishop's Orchards,5,72° 41′ 41.3″ W,41° 17′ 24.2″ N,"Uttarkashi district, Garhwal division, Uttarakhand, India",orchard,1
Rajaji National Park,40,78° 02′ 00″ E,30° 05′ 00″ N,"Uttarakhand, India",national park,2
Kolia Bhomora Setu,14,92° 51′ 30″ E,26° 35′ 55″ N,"Assam, India",bridge,4
Sanskriti Kendra Museum,6,77° 11′ 04.7″ E,28° 32′ 18.45″ N,"Mehrauli, South Delhi district, Delhi division, National Capital Territory of Delhi, India",art museum,2
Supreme Court of India,72,77° 14′ 22.5″ E,28° 37′ 20.05″ N,"Delhi, National Capital Territory of Delhi, India",supreme court,2
Bhuchar Mori,12,70° 23′ 51.6″ E,22° 34′ 57.97″ N,"Jamnagar district, Gujarat, India",historic site,5
