name,popularity,longitude,latitude,location,instance,cluster,images
Girnar Jain Temples,47,70° 31′ 20.01″ E,21° 31′ 35.87″ N,"Girnar, Junagadh district, Gujarat, India",Jain temple,5,images/63.jpg
"Lakshmi Narasimha Temple, Mangalagiri",21,80° 34′ 12.36″ E,16° 26′ 13.33″ N,"Guntur district, Andhra Pradesh, India",temple,0,images/64.jpg
Parvati Valley,112,77° 28′ 54.36″ E,31° 59′ 32.47″ N,"Himachal Pradesh, India",valley,2,images/65.jpg
Cathedral of the Immaculate Conception of Agra,27,78° 00′ 34.92″ E,27° 11′ 52.08″ N,"Agra, Agra district, Agra division, Uttar Pradesh, India",church building,2,images/66.jpg
Adhi Ratneswarar Temple,28,78° 55′ 10″ E,9° 47′ 00″ N,"Tamil Nadu, India",Hindu temple,0,images/67.jpg
Phuktal Monastery,37,77° 10′ 51″ E,33° 16′ 07″ N,"Kargil district, Ladakh, India",monastery,2,images/68.jpg
Trilok Teerth Dham,19,77° 20′ 01.4″ E,28° 52′ 38.8″ N,"Bada Gaon, Uttar Pradesh, India",temple,2,images/69.jpg
Panayanar kavu,10,76° 32′ 13″ E,9° 19′ 29″ N,"Kerala, India",village in India,0,images/70.jpg
Hindaun Fort,6,77° 02′ 20.76″ E,26° 43′ 49.08″ N,"Hindaun, Karauli district, Bharatpur division, Rajasthan, India",fortification,2,images/71.jpg
Fort Reis Magos,31,73° 48′ 33″ E,15° 29′ 47″ N,"Reis Magos, Bardez taluk, North Goa district, Goa, India",fortress,0,images/72.jpg
Bagore-ki-Haveli,49,73° 40′ 48.13″ E,24° 34′ 46.81″ N,"Udaipur, Udaipur district, Udaipur division, Rajasthan, India",haveli,5,images/73.jpg
Navalinga Temple,62,75° 59′ 22.6″ E,15° 29′ 26.8″ N,"Koppal district, Kalaburagi division, Karnataka, India",Hindu temple (Shiva),0,images/74.jpg
Basilica of Our Lady of Dolours,37,76° 13′ 04.8″ E,10° 31′ 15.6″ N,"Thrissur, Thrissur district, Kerala, India",church building,0,images/75.jpg
"Mahamaya Temple, Ratanpur",37,82° 09′ 32.4″ E,22° 52′ 58.8″ N,"Bilaspur district, Bilaspur division, Chhattisgarh, India",temple,4,images/76.jpg
Goa Chitra Museum,41,73° 56′ 29.8″ E,15° 15′ 52.9″ N,"Benaulim, South Goa District, Goa, India",ethnographic museum,0,images/77.jpg
"Indian Air Force Museum, Palam",6,77° 07′ 01″ E,28° 34′ 26″ N,"Palam, South West Delhi district, Delhi division, National Capital Territory of Delhi, India",aviation museummilitary museum,2,images/78.jpg
Hauz-i-Shamsi,26,77° 10′ 42″ E,28° 30′ 51″ N,"Mehrauli, South Delhi district, Delhi division, National Capital Territory of Delhi, India",reservoir,2,images/79.jpg
Feroz Shah Kotla,200,77° 14′ 33.7″ E,28° 38′ 05.87″ N,"Central Delhi district, Delhi division, National Capital Territory of Delhi, India",fortification,2,images/80.jpg
Thalay Sagar,4,78° 59′ 50″ E,30° 51′ 29″ N,"Uttarkashi district, Garhwal division, Uttarakhand, India",mountain,2,images/81.jpg
Bishop's Orchards,5,72° 41′ 41.3″ W,41° 17′ 24.2″ N,"Uttarkashi district, Garhwal division, Uttarakhand, India",orchard,1,images/82.jpg
Rajaji National Park,40,78° 02′ 00″ E,30° 05′ 00″ N,"Uttarakhand, India",national park,2,images/83.jpg
Kolia Bhomora Setu,14,92° 51′ 30″ E,26° 35′ 55″ N,"Assam, India",bridge,4,images/84.jpg
Sanskriti Kendra Museum,6,77° 11′ 04.7″ E,28° 32′ 18.45″ N,"Mehrauli, South Delhi district, Delhi division, National Capital Territory of Delhi, India",art museum,2,images/85.jpg
Supreme Court of India,72,77° 14′ 22.5″ E,28° 37′ 20.05″ N,"Delhi, National Capital Territory of Delhi, India",supreme court,2,images/86.jpg
Bhuchar Mori,12,70° 23′ 51.6″ E,22° 34′ 57.97″ N,"Jamnagar district, Gujarat, India",historic site,5,images/87.jpg
